Date,Year,Quarter,MonthNo,Month,MonthYear,Week,Day,DayName,IsWeekend
2025-02-25,2025,Q1,2,February,Feb-2025,9,25,Tuesday,No
2025-02-26,2025,Q1,2,February,Feb-2025,9,26,Wednesday,No
2025-02-27,2025,Q1,2,February,Feb-2025,9,27,Thursday,No
2025-02-28,2025,Q1,2,February,Feb-2025,9,28,Friday,No
2025-03-01,2025,Q1,3,March,Mar-2025,9,1,Saturday,Yes
2025-03-02,2025,Q1,3,March,Mar-2025,9,2,Sunday,Yes
2025-03-03,2025,Q1,3,March,Mar-2025,10,3,Monday,No
2025-03-04,2025,Q1,3,March,Mar-2025,10,4,Tuesday,No
2025-03-05,2025,Q1,3,March,Mar-2025,10,5,Wednesday,No
2025-03-06,2025,Q1,3,March,Mar-2025,10,6,Thursday,No
2025-03-07,2025,Q1,3,March,Mar-2025,10,7,Friday,No
2025-03-08,2025,Q1,3,March,Mar-2025,10,8,Saturday,Yes
2025-03-09,2025,Q1,3,March,Mar-2025,10,9,Sunday,Yes
2025-03-10,2025,Q1,3,March,Mar-2025,11,10,Monday,No
2025-03-11,2025,Q1,3,March,Mar-2025,11,11,Tuesday,No
2025-03-12,2025,Q1,3,March,Mar-2025,11,12,Wednesday,No
2025-03-13,2025,Q1,3,March,Mar-2025,11,13,Thursday,No
2025-03-14,2025,Q1,3,March,Mar-2025,11,14,Friday,No
2025-03-15,2025,Q1,3,March,Mar-2025,11,15,Saturday,Yes
2025-03-16,2025,Q1,3,March,Mar-2025,11,16,Sunday,Yes
2025-03-17,2025,Q1,3,March,Mar-2025,12,17,Monday,No
2025-03-18,2025,Q1,3,March,Mar-2025,12,18,Tuesday,No
2025-03-19,2025,Q1,3,March,Mar-2025,12,19,Wednesday,No
2025-03-20,2025,Q1,3,March,Mar-2025,12,20,Thursday,No
2025-03-21,2025,Q1,3,March,Mar-2025,12,21,Friday,No
2025-03-22,2025,Q1,3,March,Mar-2025,12,22,Saturday,Yes
2025-03-23,2025,Q1,3,March,Mar-2025,12,23,Sunday,Yes
2025-03-24,2025,Q1,3,March,Mar-2025,13,24,Monday,No
2025-03-25,2025,Q1,3,March,Mar-2025,13,25,Tuesday,No
2025-03-26,2025,Q1,3,March,Mar-2025,13,26,Wednesday,No
2025-03-27,2025,Q1,3,March,Mar-2025,13,27,Thursday,No
2025-03-28,2025,Q1,3,March,Mar-2025,13,28,Friday,No
2025-03-29,2025,Q1,3,March,Mar-2025,13,29,Saturday,Yes
2025-03-30,2025,Q1,3,March,Mar-2025,13,30,Sunday,Yes
2025-03-31,2025,Q1,3,March,Mar-2025,14,31,Monday,No
2025-04-01,2025,Q2,4,April,Apr-2025,14,1,Tuesday,No
2025-04-02,2025,Q2,4,April,Apr-2025,14,2,Wednesday,No
2025-04-03,2025,Q2,4,April,Apr-2025,14,3,Thursday,No
2025-04-04,2025,Q2,4,April,Apr-2025,14,4,Friday,No
2025-04-05,2025,Q2,4,April,Apr-2025,14,5,Saturday,Yes
2025-04-06,2025,Q2,4,April,Apr-2025,14,6,Sunday,Yes
2025-04-07,2025,Q2,4,April,Apr-2025,15,7,Monday,No
2025-04-08,2025,Q2,4,April,Apr-2025,15,8,Tuesday,No
2025-04-09,2025,Q2,4,April,Apr-2025,15,9,Wednesday,No
2025-04-10,2025,Q2,4,April,Apr-2025,15,10,Thursday,No
2025-04-11,2025,Q2,4,April,Apr-2025,15,11,Friday,No
2025-04-12,2025,Q2,4,April,Apr-2025,15,12,Saturday,Yes
2025-04-13,2025,Q2,4,April,Apr-2025,15,13,Sunday,Yes
2025-04-14,2025,Q2,4,April,Apr-2025,16,14,Monday,No
2025-04-15,2025,Q2,4,April,Apr-2025,16,15,Tuesday,No
2025-04-16,2025,Q2,4,April,Apr-2025,16,16,Wednesday,No
2025-04-17,2025,Q2,4,April,Apr-2025,16,17,Thursday,No
2025-04-18,2025,Q2,4,April,Apr-2025,16,18,Friday,No
2025-04-19,2025,Q2,4,April,Apr-2025,16,19,Saturday,Yes
2025-04-20,2025,Q2,4,April,Apr-2025,16,20,Sunday,Yes
2025-04-21,2025,Q2,4,April,Apr-2025,17,21,Monday,No
2025-04-22,2025,Q2,4,April,Apr-2025,17,22,Tuesday,No
2025-04-23,2025,Q2,4,April,Apr-2025,17,23,Wednesday,No
2025-04-24,2025,Q2,4,April,Apr-2025,17,24,Thursday,No
2025-04-25,2025,Q2,4,April,Apr-2025,17,25,Friday,No
2025-04-26,2025,Q2,4,April,Apr-2025,17,26,Saturday,Yes
2025-04-27,2025,Q2,4,April,Apr-2025,17,27,Sunday,Yes
2025-04-28,2025,Q2,4,April,Apr-2025,18,28,Monday,No
2025-04-29,2025,Q2,4,April,Apr-2025,18,29,Tuesday,No
2025-04-30,2025,Q2,4,April,Apr-2025,18,30,Wednesday,No
2025-05-01,2025,Q2,5,May,May-2025,18,1,Thursday,No
2025-05-02,2025,Q2,5,May,May-2025,18,2,Friday,No
2025-05-03,2025,Q2,5,May,May-2025,18,3,Saturday,Yes
2025-05-04,2025,Q2,5,May,May-2025,18,4,Sunday,Yes
2025-05-05,2025,Q2,5,May,May-2025,19,5,Monday,No
2025-05-06,2025,Q2,5,May,May-2025,19,6,Tuesday,No
2025-05-07,2025,Q2,5,May,May-2025,19,7,Wednesday,No
2025-05-08,2025,Q2,5,May,May-2025,19,8,Thursday,No
2025-05-09,2025,Q2,5,May,May-2025,19,9,Friday,No
2025-05-10,2025,Q2,5,May,May-2025,19,10,Saturday,Yes
2025-05-11,2025,Q2,5,May,May-2025,19,11,Sunday,Yes
2025-05-12,2025,Q2,5,May,May-2025,20,12,Monday,No
2025-05-13,2025,Q2,5,May,May-2025,20,13,Tuesday,No
2025-05-14,2025,Q2,5,May,May-2025,20,14,Wednesday,No
2025-05-15,2025,Q2,5,May,May-2025,20,15,Thursday,No
2025-05-16,2025,Q2,5,May,May-2025,20,16,Friday,No
2025-05-17,2025,Q2,5,May,May-2025,20,17,Saturday,Yes
2025-05-18,2025,Q2,5,May,May-2025,20,18,Sunday,Yes
2025-05-19,2025,Q2,5,May,May-2025,21,19,Monday,No
2025-05-20,2025,Q2,5,May,May-2025,21,20,Tuesday,No
2025-05-21,2025,Q2,5,May,May-2025,21,21,Wednesday,No
2025-05-22,2025,Q2,5,May,May-2025,21,22,Thursday,No
2025-05-23,2025,Q2,5,May,May-2025,21,23,Friday,No
2025-05-24,2025,Q2,5,May,May-2025,21,24,Saturday,Yes
2025-05-25,2025,Q2,5,May,May-2025,21,25,Sunday,Yes
2025-05-26,2025,Q2,5,May,May-2025,22,26,Monday,No
2025-05-27,2025,Q2,5,May,May-2025,22,27,Tuesday,No
2025-05-28,2025,Q2,5,May,May-2025,22,28,Wednesday,No
2025-05-29,2025,Q2,5,May,May-2025,22,29,Thursday,No
2025-05-30,2025,Q2,5,May,May-2025,22,30,Friday,No
2025-05-31,2025,Q2,5,May,May-2025,22,31,Saturday,Yes
2025-06-01,2025,Q2,6,June,Jun-2025,22,1,Sunday,Yes
2025-06-02,2025,Q2,6,June,Jun-2025,23,2,Monday,No
2025-06-03,2025,Q2,6,June,Jun-2025,23,3,Tuesday,No
2025-06-04,2025,Q2,6,June,Jun-2025,23,4,Wednesday,No
2025-06-05,2025,Q2,6,June,Jun-2025,23,5,Thursday,No
2025-06-06,2025,Q2,6,June,Jun-2025,23,6,Friday,No
2025-06-07,2025,Q2,6,June,Jun-2025,23,7,Saturday,Yes
2025-06-08,2025,Q2,6,June,Jun-2025,23,8,Sunday,Yes
2025-06-09,2025,Q2,6,June,Jun-2025,24,9,Monday,No
2025-06-10,2025,Q2,6,June,Jun-2025,24,10,Tuesday,No
2025-06-11,2025,Q2,6,June,Jun-2025,24,11,Wednesday,No
2025-06-12,2025,Q2,6,June,Jun-2025,24,12,Thursday,No
2025-06-13,2025,Q2,6,June,Jun-2025,24,13,Friday,No
2025-06-14,2025,Q2,6,June,Jun-2025,24,14,Saturday,Yes
2025-06-15,2025,Q2,6,June,Jun-2025,24,15,Sunday,Yes
2025-06-16,2025,Q2,6,June,Jun-2025,25,16,Monday,No
2025-06-17,2025,Q2,6,June,Jun-2025,25,17,Tuesday,No
2025-06-18,2025,Q2,6,June,Jun-2025,25,18,Wednesday,No
2025-06-19,2025,Q2,6,June,Jun-2025,25,19,Thursday,No
2025-06-20,2025,Q2,6,June,Jun-2025,25,20,Friday,No
2025-06-21,2025,Q2,6,June,Jun-2025,25,21,Saturday,Yes
2025-06-22,2025,Q2,6,June,Jun-2025,25,22,Sunday,Yes
2025-06-23,2025,Q2,6,June,Jun-2025,26,23,Monday,No
2025-06-24,2025,Q2,6,June,Jun-2025,26,24,Tuesday,No
2025-06-25,2025,Q2,6,June,Jun-2025,26,25,Wednesday,No
2025-06-26,2025,Q2,6,June,Jun-2025,26,26,Thursday,No
2025-06-27,2025,Q2,6,June,Jun-2025,26,27,Friday,No
2025-06-28,2025,Q2,6,June,Jun-2025,26,28,Saturday,Yes
2025-06-29,2025,Q2,6,June,Jun-2025,26,29,Sunday,Yes
2025-06-30,2025,Q2,6,June,Jun-2025,27,30,Monday,No
2025-07-01,2025,Q3,7,July,Jul-2025,27,1,Tuesday,No
2025-07-02,2025,Q3,7,July,Jul-2025,27,2,Wednesday,No
2025-07-03,2025,Q3,7,July,Jul-2025,27,3,Thursday,No
2025-07-04,2025,Q3,7,July,Jul-2025,27,4,Friday,No
2025-07-05,2025,Q3,7,July,Jul-2025,27,5,Saturday,Yes
2025-07-06,2025,Q3,7,July,Jul-2025,27,6,Sunday,Yes
2025-07-07,2025,Q3,7,July,Jul-2025,28,7,Monday,No
2025-07-08,2025,Q3,7,July,Jul-2025,28,8,Tuesday,No
2025-07-09,2025,Q3,7,July,Jul-2025,28,9,Wednesday,No
2025-07-10,2025,Q3,7,July,Jul-2025,28,10,Thursday,No
2025-07-11,2025,Q3,7,July,Jul-2025,28,11,Friday,No
2025-07-12,2025,Q3,7,July,Jul-2025,28,12,Saturday,Yes
2025-07-13,2025,Q3,7,July,Jul-2025,28,13,Sunday,Yes
2025-07-14,2025,Q3,7,July,Jul-2025,29,14,Monday,No
2025-07-15,2025,Q3,7,July,Jul-2025,29,15,Tuesday,No
2025-07-16,2025,Q3,7,July,Jul-2025,29,16,Wednesday,No
2025-07-17,2025,Q3,7,July,Jul-2025,29,17,Thursday,No
2025-07-18,2025,Q3,7,July,Jul-2025,29,18,Friday,No
2025-07-19,2025,Q3,7,July,Jul-2025,29,19,Saturday,Yes
2025-07-20,2025,Q3,7,July,Jul-2025,29,20,Sunday,Yes
2025-07-21,2025,Q3,7,July,Jul-2025,30,21,Monday,No
2025-07-22,2025,Q3,7,July,Jul-2025,30,22,Tuesday,No
2025-07-23,2025,Q3,7,July,Jul-2025,30,23,Wednesday,No
2025-07-24,2025,Q3,7,July,Jul-2025,30,24,Thursday,No
2025-07-25,2025,Q3,7,July,Jul-2025,30,25,Friday,No
2025-07-26,2025,Q3,7,July,Jul-2025,30,26,Saturday,Yes
2025-07-27,2025,Q3,7,July,Jul-2025,30,27,Sunday,Yes
2025-07-28,2025,Q3,7,July,Jul-2025,31,28,Monday,No
2025-07-29,2025,Q3,7,July,Jul-2025,31,29,Tuesday,No
2025-07-30,2025,Q3,7,July,Jul-2025,31,30,Wednesday,No
2025-07-31,2025,Q3,7,July,Jul-2025,31,31,Thursday,No
2025-08-01,2025,Q3,8,August,Aug-2025,31,1,Friday,No
2025-08-02,2025,Q3,8,August,Aug-2025,31,2,Saturday,Yes
2025-08-03,2025,Q3,8,August,Aug-2025,31,3,Sunday,Yes
2025-08-04,2025,Q3,8,August,Aug-2025,32,4,Monday,No
2025-08-05,2025,Q3,8,August,Aug-2025,32,5,Tuesday,No
2025-08-06,2025,Q3,8,August,Aug-2025,32,6,Wednesday,No
2025-08-07,2025,Q3,8,August,Aug-2025,32,7,Thursday,No
2025-08-08,2025,Q3,8,August,Aug-2025,32,8,Friday,No
2025-08-09,2025,Q3,8,August,Aug-2025,32,9,Saturday,Yes
2025-08-10,2025,Q3,8,August,Aug-2025,32,10,Sunday,Yes
2025-08-11,2025,Q3,8,August,Aug-2025,33,11,Monday,No
2025-08-12,2025,Q3,8,August,Aug-2025,33,12,Tuesday,No
2025-08-13,2025,Q3,8,August,Aug-2025,33,13,Wednesday,No
2025-08-14,2025,Q3,8,August,Aug-2025,33,14,Thursday,No
2025-08-15,2025,Q3,8,August,Aug-2025,33,15,Friday,No
2025-08-16,2025,Q3,8,August,Aug-2025,33,16,Saturday,Yes
2025-08-17,2025,Q3,8,August,Aug-2025,33,17,Sunday,Yes
2025-08-18,2025,Q3,8,August,Aug-2025,34,18,Monday,No
2025-08-19,2025,Q3,8,August,Aug-2025,34,19,Tuesday,No
2025-08-20,2025,Q3,8,August,Aug-2025,34,20,Wednesday,No
2025-08-21,2025,Q3,8,August,Aug-2025,34,21,Thursday,No
2025-08-22,2025,Q3,8,August,Aug-2025,34,22,Friday,No
2025-08-23,2025,Q3,8,August,Aug-2025,34,23,Saturday,Yes
2025-08-24,2025,Q3,8,August,Aug-2025,34,24,Sunday,Yes
2025-08-25,2025,Q3,8,August,Aug-2025,35,25,Monday,No
2025-08-26,2025,Q3,8,August,Aug-2025,35,26,Tuesday,No
2025-08-27,2025,Q3,8,August,Aug-2025,35,27,Wednesday,No
2025-08-28,2025,Q3,8,August,Aug-2025,35,28,Thursday,No
2025-08-29,2025,Q3,8,August,Aug-2025,35,29,Friday,No
2025-08-30,2025,Q3,8,August,Aug-2025,35,30,Saturday,Yes
2025-08-31,2025,Q3,8,August,Aug-2025,35,31,Sunday,Yes
2025-09-01,2025,Q3,9,September,Sep-2025,36,1,Monday,No
2025-09-02,2025,Q3,9,September,Sep-2025,36,2,Tuesday,No
2025-09-03,2025,Q3,9,September,Sep-2025,36,3,Wednesday,No
2025-09-04,2025,Q3,9,September,Sep-2025,36,4,Thursday,No
2025-09-05,2025,Q3,9,September,Sep-2025,36,5,Friday,No
2025-09-06,2025,Q3,9,September,Sep-2025,36,6,Saturday,Yes
2025-09-07,2025,Q3,9,September,Sep-2025,36,7,Sunday,Yes
2025-09-08,2025,Q3,9,September,Sep-2025,37,8,Monday,No
2025-09-09,2025,Q3,9,September,Sep-2025,37,9,Tuesday,No
2025-09-10,2025,Q3,9,September,Sep-2025,37,10,Wednesday,No
2025-09-11,2025,Q3,9,September,Sep-2025,37,11,Thursday,No
2025-09-12,2025,Q3,9,September,Sep-2025,37,12,Friday,No
2025-09-13,2025,Q3,9,September,Sep-2025,37,13,Saturday,Yes
2025-09-14,2025,Q3,9,September,Sep-2025,37,14,Sunday,Yes
2025-09-15,2025,Q3,9,September,Sep-2025,38,15,Monday,No
2025-09-16,2025,Q3,9,September,Sep-2025,38,16,Tuesday,No
2025-09-17,2025,Q3,9,September,Sep-2025,38,17,Wednesday,No
2025-09-18,2025,Q3,9,September,Sep-2025,38,18,Thursday,No
2025-09-19,2025,Q3,9,September,Sep-2025,38,19,Friday,No
2025-09-20,2025,Q3,9,September,Sep-2025,38,20,Saturday,Yes
2025-09-21,2025,Q3,9,September,Sep-2025,38,21,Sunday,Yes
2025-09-22,2025,Q3,9,September,Sep-2025,39,22,Monday,No
2025-09-23,2025,Q3,9,September,Sep-2025,39,23,Tuesday,No
2025-09-24,2025,Q3,9,September,Sep-2025,39,24,Wednesday,No
2025-09-25,2025,Q3,9,September,Sep-2025,39,25,Thursday,No
2025-09-26,2025,Q3,9,September,Sep-2025,39,26,Friday,No
2025-09-27,2025,Q3,9,September,Sep-2025,39,27,Saturday,Yes
2025-09-28,2025,Q3,9,September,Sep-2025,39,28,Sunday,Yes
2025-09-29,2025,Q3,9,September,Sep-2025,40,29,Monday,No
2025-09-30,2025,Q3,9,September,Sep-2025,40,30,Tuesday,No
2025-10-01,2025,Q4,10,October,Oct-2025,40,1,Wednesday,No
2025-10-02,2025,Q4,10,October,Oct-2025,40,2,Thursday,No
2025-10-03,2025,Q4,10,October,Oct-2025,40,3,Friday,No
2025-10-04,2025,Q4,10,October,Oct-2025,40,4,Saturday,Yes
2025-10-05,2025,Q4,10,October,Oct-2025,40,5,Sunday,Yes
2025-10-06,2025,Q4,10,October,Oct-2025,41,6,Monday,No
2025-10-07,2025,Q4,10,October,Oct-2025,41,7,Tuesday,No
2025-10-08,2025,Q4,10,October,Oct-2025,41,8,Wednesday,No
2025-10-09,2025,Q4,10,October,Oct-2025,41,9,Thursday,No
2025-10-10,2025,Q4,10,October,Oct-2025,41,10,Friday,No
2025-10-11,2025,Q4,10,October,Oct-2025,41,11,Saturday,Yes
2025-10-12,2025,Q4,10,October,Oct-2025,41,12,Sunday,Yes
2025-10-13,2025,Q4,10,October,Oct-2025,42,13,Monday,No
2025-10-14,2025,Q4,10,October,Oct-2025,42,14,Tuesday,No
2025-10-15,2025,Q4,10,October,Oct-2025,42,15,Wednesday,No
2025-10-16,2025,Q4,10,October,Oct-2025,42,16,Thursday,No
2025-10-17,2025,Q4,10,October,Oct-2025,42,17,Friday,No
2025-10-18,2025,Q4,10,October,Oct-2025,42,18,Saturday,Yes
2025-10-19,2025,Q4,10,October,Oct-2025,42,19,Sunday,Yes
2025-10-20,2025,Q4,10,October,Oct-2025,43,20,Monday,No
2025-10-21,2025,Q4,10,October,Oct-2025,43,21,Tuesday,No
2025-10-22,2025,Q4,10,October,Oct-2025,43,22,Wednesday,No
2025-10-23,2025,Q4,10,October,Oct-2025,43,23,Thursday,No
2025-10-24,2025,Q4,10,October,Oct-2025,43,24,Friday,No
2025-10-25,2025,Q4,10,October,Oct-2025,43,25,Saturday,Yes
2025-10-26,2025,Q4,10,October,Oct-2025,43,26,Sunday,Yes
2025-10-27,2025,Q4,10,October,Oct-2025,44,27,Monday,No
2025-10-28,2025,Q4,10,October,Oct-2025,44,28,Tuesday,No
2025-10-29,2025,Q4,10,October,Oct-2025,44,29,Wednesday,No
2025-10-30,2025,Q4,10,October,Oct-2025,44,30,Thursday,No
2025-10-31,2025,Q4,10,October,Oct-2025,44,31,Friday,No
2025-11-01,2025,Q4,11,November,Nov-2025,44,1,Saturday,Yes
2025-11-02,2025,Q4,11,November,Nov-2025,44,2,Sunday,Yes
2025-11-03,2025,Q4,11,November,Nov-2025,45,3,Monday,No
2025-11-04,2025,Q4,11,November,Nov-2025,45,4,Tuesday,No
2025-11-05,2025,Q4,11,November,Nov-2025,45,5,Wednesday,No
2025-11-06,2025,Q4,11,November,Nov-2025,45,6,Thursday,No
2025-11-07,2025,Q4,11,November,Nov-2025,45,7,Friday,No
2025-11-08,2025,Q4,11,November,Nov-2025,45,8,Saturday,Yes
2025-11-09,2025,Q4,11,November,Nov-2025,45,9,Sunday,Yes
2025-11-10,2025,Q4,11,November,Nov-2025,46,10,Monday,No
2025-11-11,2025,Q4,11,November,Nov-2025,46,11,Tuesday,No
2025-11-12,2025,Q4,11,November,Nov-2025,46,12,Wednesday,No
2025-11-13,2025,Q4,11,November,Nov-2025,46,13,Thursday,No
2025-11-14,2025,Q4,11,November,Nov-2025,46,14,Friday,No
2025-11-15,2025,Q4,11,November,Nov-2025,46,15,Saturday,Yes
2025-11-16,2025,Q4,11,November,Nov-2025,46,16,Sunday,Yes
2025-11-17,2025,Q4,11,November,Nov-2025,47,17,Monday,No
2025-11-18,2025,Q4,11,November,Nov-2025,47,18,Tuesday,No
2025-11-19,2025,Q4,11,November,Nov-2025,47,19,Wednesday,No
2025-11-20,2025,Q4,11,November,Nov-2025,47,20,Thursday,No
2025-11-21,2025,Q4,11,November,Nov-2025,47,21,Friday,No
2025-11-22,2025,Q4,11,November,Nov-2025,47,22,Saturday,Yes
2025-11-23,2025,Q4,11,November,Nov-2025,47,23,Sunday,Yes
2025-11-24,2025,Q4,11,November,Nov-2025,48,24,Monday,No
2025-11-25,2025,Q4,11,November,Nov-2025,48,25,Tuesday,No
2025-11-26,2025,Q4,11,November,Nov-2025,48,26,Wednesday,No
2025-11-27,2025,Q4,11,November,Nov-2025,48,27,Thursday,No
2025-11-28,2025,Q4,11,November,Nov-2025,48,28,Friday,No
2025-11-29,2025,Q4,11,November,Nov-2025,48,29,Saturday,Yes
2025-11-30,2025,Q4,11,November,Nov-2025,48,30,Sunday,Yes
2025-12-01,2025,Q4,12,December,Dec-2025,49,1,Monday,No
2025-12-02,2025,Q4,12,December,Dec-2025,49,2,Tuesday,No
2025-12-03,2025,Q4,12,December,Dec-2025,49,3,Wednesday,No
2025-12-04,2025,Q4,12,December,Dec-2025,49,4,Thursday,No
2025-12-05,2025,Q4,12,December,Dec-2025,49,5,Friday,No
2025-12-06,2025,Q4,12,December,Dec-2025,49,6,Saturday,Yes
2025-12-07,2025,Q4,12,December,Dec-2025,49,7,Sunday,Yes
2025-12-08,2025,Q4,12,December,Dec-2025,50,8,Monday,No
2025-12-09,2025,Q4,12,December,Dec-2025,50,9,Tuesday,No
2025-12-10,2025,Q4,12,December,Dec-2025,50,10,Wednesday,No
2025-12-11,2025,Q4,12,December,Dec-2025,50,11,Thursday,No
2025-12-12,2025,Q4,12,December,Dec-2025,50,12,Friday,No
2025-12-13,2025,Q4,12,December,Dec-2025,50,13,Saturday,Yes
2025-12-14,2025,Q4,12,December,Dec-2025,50,14,Sunday,Yes
2025-12-15,2025,Q4,12,December,Dec-2025,51,15,Monday,No
2025-12-16,2025,Q4,12,December,Dec-2025,51,16,Tuesday,No
2025-12-17,2025,Q4,12,December,Dec-2025,51,17,Wednesday,No
2025-12-18,2025,Q4,12,December,Dec-2025,51,18,Thursday,No
2025-12-19,2025,Q4,12,December,Dec-2025,51,19,Friday,No
2025-12-20,2025,Q4,12,December,Dec-2025,51,20,Saturday,Yes
2025-12-21,2025,Q4,12,December,Dec-2025,51,21,Sunday,Yes
2025-12-22,2025,Q4,12,December,Dec-2025,52,22,Monday,No
2025-12-23,2025,Q4,12,December,Dec-2025,52,23,Tuesday,No
2025-12-24,2025,Q4,12,December,Dec-2025,52,24,Wednesday,No
2025-12-25,2025,Q4,12,December,Dec-2025,52,25,Thursday,No
2025-12-26,2025,Q4,12,December,Dec-2025,52,26,Friday,No
2025-12-27,2025,Q4,12,December,Dec-2025,52,27,Saturday,Yes
2025-12-28,2025,Q4,12,December,Dec-2025,52,28,Sunday,Yes
2025-12-29,2025,Q4,12,December,Dec-2025,1,29,Monday,No
2025-12-30,2025,Q4,12,December,Dec-2025,1,30,Tuesday,No
2025-12-31,2025,Q4,12,December,Dec-2025,1,31,Wednesday,No
